Gondi Word	Phonetic	Part of Speech	Telugu Meaning	English Meaning	Hindi Meaning	Ex 1 Gondi	Ex 1 Telugu	Ex 1 English	Ex 1 Hindi	Ex 2 Gondi	Ex 2 Telugu	Ex 2 English	Ex 2 Hindi	Ex 3 Gondi	Ex 3 Telugu	Ex 3 English	Ex 3 Hindi
అడ్ముట్యల్	/aḍmuṭyal/	adj	మోటుగా ఉండేవాడు	foolish	दुर्बुद्धि	ఆడ్ముట్ కామ్ కియ్వన్ అడ్ముట్యల్ ఇంతెర్.	మోటు పని చేసే వాన్ని మోటువాడు అంటారు.										
అడ్-	/aḍ-/	n	ఏడవడం	to cry, weep	रोना	మొడ్డె అడ్సెర్ మంత.	పాప ఏడుస్తుంది.	The baby is crying.		బాబల్ కాండిన్ పాతెకె కాండి బయ్ జోర్తె అడంతొర్.	నాన కొడుకును కొట్టితే కొడుకు బాగా ఏడుస్తున్నాడు.						
అడిచ్	/aḍic/		రెండున్నర														
అద్	/ad/	n	అది	she, it, that (nm.)	वे	అద్ నార్ బయ్ సోబతె మంత.	ఆ ఊరు చాలా అందంగా ఉంది.										
అదెన్‌లాసి	/adenlāsi/	adv	దానికోసం	therefore	उस लिये	నన్న అదెన్ సాటి వాతొన్.	నేను దాని కోసం వచ్చాను.										
అద్మ	/adma/	v	నొక్కు	press	दबा	నావ తల్లతున్ అద్మ.	నా తలను నొక్కు.										
అద్యయ్ కీమ్	/adyay kīm/		అధ్యయనము చేయు			నిమ్మె బస్కె గిర్ అద్యయ్ కీసెర్ మన్.	నీవు ఎప్పటికీ అధ్యయనము చేస్తూ ఉండు.										
అద్లి	/adli/	n	తవ్వ	a measure		వంజిన్ అద్లితె కహంతెర్.	వడ్లను తవ్వతో కొలుస్తారు.										
అదిక్	/adik/	n	రెట్టింపు	dual	दुगुना	వోన్ తెర్ వెల్లె నన్నయ్ అదిక్ కామ్ కీతొన్.	అతని కన్న నేను రెట్టింపు పని చేశాను.										
అదిక్న	/adikna/	adj	ఎక్కువ	plethora		మహ్గ అదిక్నంగ్ సవ్వింగ్ మంతంగ్.	మాదగ్గర ఎక్కువ మాంసము ఉంది.										
అదికార్	/adikār/	n	అధికారం	power	अधिकार; हक़	వోన కూబ్ డగుర్ అదికార్ మంత.	అతనికి చాలా పెద్ద అధికారం ఉంది.										
అదెన్	/aden/	pron	దాని	it		అదెన్ సాటి నన్న గిర్ వాంతొన్.	దాని కొరకు నేను కూడా వస్తాను.										
అంతర్	/antar/	n	అంతరము	inner		పరిక్స లిహి కీతుర్ కాండిరంగ్ మార్కుల్క్‌న అంతర్ సెల్లె.	పరీక్ష రాసిన పిల్లల మార్కులలో అంతరము లేదు.										
అంద్రియల్	/andriyal/	adj	రేచీకటి గలవాడు	night-blind		నర్కక్ దిస్సొ వోన్ అంద్రియల్ ఇంతెర్.	రాత్రి పూట కనిపించక పోతే రేచీకటి అంటారు.	He who cannot see at night is called *.									
అంద్‌త	/and-/	v	అందడము	to reach	पहुँचना	మర్క కాయంగ్ మర్రత్ పొర్రొ మంతంగ్ అవెకున్ అంద.	మామిడి కాయలు చెట్టు పైన ఉన్నాయి వాటిని అందుకో.										
అంటార్కిటికా	/aṇṭārkiṭikā/	a	అంటార్కిటికా														
అంటి	/aṇṭi/	adv	ఆ రోజు	on that day	उस दिन मे	అంటితరోజ్ నిమ్మె బేకె సొంజి మతి.	ఆ రోజు నీవు ఎక్కడికి వెళ్లావు.										
అంచు	/an̄cu/	n	అంచు	edge	छोर												
