Gondi Word	Telugu Meaning
इट्‍के कियमड़	ఇటికలు చెయడము
इट्के	ఇటుక
इसंटद	ఇటువంటిది
इसंटां	ఇటువంటివి
ईनद	ఇతని
इत्तोडी	ఇత్తడి
इत्तोड ताली	ఇత్తడి చెంబు
वेड़सी इर्रना उंदि जॆगा	ఇత్తడితో చేసిన దీపముల సమూహము
इद	ఇది
इल्‍हा बल्‍हा	ఇది ఎట్లా?
कच्चिता पेनेम	ఇనుప పెనం
इनपा	ఇనుము
कच्‍चि बंडा	ఇనుము బండ
इर्क मरा	ఇప్ప (చెట్టు)
गारे काया	ఇప్పపువ్వు
इंदके	ఇప్పుడు
इंदकेने	ఇప్పుడె
इर्सू	ఇర్సు
इरवै	ఇరువై
इरवै-हारूं	ఇరువై ఆరు
इरवै-एडूं	ఇరువై ఎడు
इरवै हेय्युं	ఇరువై ఐదు
इरवै उंदि	ఇరువై ఒక్కటి
इरवै तोम्मिदि	ఇరువై తొమ్మిది
इरवै नालूं	ఇరువై నాలుగు
इरवै मूडू	ఇరువై మూడు
इरुवै रोंडु	ఇరువై రెండు
लॊन	ఇల్లు
लोता सुटुना जॆगा	ఇల్లు చుట్టుస్థలము
इदुन लेंसीं	ఇలాంటిది
हिय्युडु	ఇవ్వు
इव	ఇవి
इस्‍टमातद	ఇష్ట పడ్డది
इच्‍चा आयमड़	ఇష్టపడడము
उस्के	ఇస్క్య
नोरमड़	ఇస్రుట
जोत्ता	ఇస్రురాయి
उस्‍के बंडा	ఇసిక్య రాయ
मर्रा	ఇంక
इंगु	ఇంగువ
गूरे	ఇంటి చుట్టు కట్టిన తడకలు
दाबा	ఇంటి పై భాగము
पाडी	ఇంటిపేరు
इच्चोर	ఇంత
इचटुर	ఇందరు
सिंगिड	ఇంద్రధనుస్సు
इय्योड	ఈ సంవత్సరము
बूरा	ఈక
वीसी	ఈగ
कडसि होन्‍मड़	ఈగీ పొవడము
ईदमड़	ఈత
इता मरा	ఈత (చెట్టు)
नेंड	ఈరోజు
उच्‍चा	ఉచ్చ
उडकमड	ఉచ్చ పొయటము
उळ्‍काला होन्‍मड़	ఉచ్చ పొయడానికి పొవడము
उळ्‍किसी वायमड़	ఉచ్చ పొసీ రావడుము
उळ्‍कमड़	ఉచ్చా పొయడము
हिक्‍का	ఉట్టి
उड़गुमड़	ఉడిగి పొవటము
वेर्से	ఉడుత
उर्रुम	ఉడుము
उत्रम	ఉత్తరము
उत्तेरा	ఉత్తెరా
हुक्‍कुड़	ఉతుకు
जावोड्द पोड्द	ఉదయము
उद्देरा	ఉద్దెర
पुट्कु	ఉద్భవం
नोव्‍करि	ఉద్యోగము
मंता	ఉన్నది
उप्योग	ఉపయోగం
उपरोम	ఉపరము
होव्‍वोर	ఉప్పు
उब्‍बुमड़	ఉబ్బడము
उब्‍बुता जॆगा	ఉబ్బిన స్థలము
उच्‍चुल	ఉమ్మి
उस्‍कुड	ఉమ్మెయడము
ऊकड	ఉయ్యాల
वित्तुडु	ఉర్కుట
पासा	ఉరి
उल्‍किसी अरमड़	ఉల్కి పడటము
उल्‍ली	ఉల్లి
उल्‍ली गड्डा	ఉల్లిగడ్డ
कास्ता	ఉష్ణమైన
उसीर्के मरा	ఉసిరి (చెట్టు)
ईसुल	ఉసుల్లు
मुद्दा	ఉంగరము
इर्रुडु	ఉంచు
मंदमड़	ఉండడము
मन्नु	ఉండు
ऊंगंमड़	ఊగాడము
उह्‍कुड	ఊదడము
तुताकोम	ఊదెకొమ్ము
ऊपमड़	ఊపడము
बुग्गा	ఊపిరి బుగ్గ
नार तिरियनोर	ఊరీలొ తిరిగెవాడు
ऊर बिस्‍के	ఊరు బిస్కె
बगा	ఎక్కడ
बेके	ఎక్కడ, ఎటు?
एक्‍कुड	ఎక్కడము
बगनना	ఎక్కడైనా
एक्‍किस होनमड़	ఎక్కి పొవడము
एक्‍कुल्‍क तेदमड़	ఎక్కిలు రావ్డము
एक्‍कुल्‍कु	ఎక్కిళ్ళు
वेल्ले	ఎక్కువ
परीयमड़	ఎగిరింది
उह्‍कुडु	ఎగించడము(పిలన్ గొయ్య)
बसंटद	ఎటువాంటిది
डेमा	ఎడమ
तेहाचि ओयमड़	ఎత్తి తీస్కెల్లడము
एत्तू	ఎత్తు
एत्तु गुट्टा	ఎత్తు కొండ
गुप्‍पा	ఎత్తు స్థలము
एत्तुंक एत्तु	ఎత్తుకు ఎత్తు
कोंदा	ఎద్దు
कासूर	ఎద్దులబండి
बव्टे	ఎదానీ తొ సహ?
बद	ఎది?
एनबै	ఎనబై
एन्‍बै हारूं	ఎనబై ఆరు
एनबै-एडूं	ఎనబై ఎడు
एनबै एनमिदि	ఎనబై ఎనిమిది
एनबै हेय्युं	ఎనబై ఐదు
एनबै उंदि	ఎనబై ఒకటి
एनबै तोम्मिदि	ఎనబై తొమ్మిది
एनबै नालूं	ఎనబై నాలుగు
एनबै मूडु	ఎనబై మూడు
एनबै रोंडु	ఎనబై రెండు
बचोक	ఎన్ని
एनमिदि	ఎనిమిది
बस्के	ఎప్పుడు
बस्‍केनना	ఎప్పుడైనా
एबै हारूं	ఎబై ఆరు
