Gondi Word	Hindi Meaning	Telugu Meaning
कुप्‍पा कियमड़	ढीग करना	
कुप्‍पा कियमड़	ढीग करना	
कुमूड (मर्रा)	पेड़	కుమ్ముడు చెట్టు
कुम्मर पुडी	एक कीटक का प्रकार	కుమ్మరి పురుగు
कुम्मल	कुम्‍हार	కుమ్మరివాడు
कुम्मे	कुंभार की पत्‍नी	
कुम्मे	कुंभार की पत्‍नी	
कुय्या		కుయ్య
कुरपुम	तिल	కుర్పు
कुरपे		కుర్పె
कुर्रा	बछडा	కంక
कुर्रा पेय्या	नर बछडा	
कुर्सा	बौना	
कुर्सि	कुर्सि	కుర్చి
कुलम	जाति	కులము
कुलिगाडु	मजदूर	కుళీవాడు
कुल्‍ला	खुला	
कुल्‍हुड		కూళిపెయడము
कुसिते	खुश	
कुसिर	सब्‍जी	కూర
कुसिर सामान	मसाला	కూర వస్తువులు
कुसी	खुशी	అనందం
कुसी-गम्मतिते	खूशीसे	
कुसी-कुसीते	खुशी-खुशी से	
कुसिते	खुश	
कुसी-कुसीते	खुशी-खुशी से	
कुसी-गम्मतिते	खूशीसे	
कुसुडु	निसटना	
कुहि	कुआँ	బావి
कूटा		కూటా
कूटाल	लंगड़ा	
कूटि	लंगड़ी(औ)	కుంటి
कूटेल	जला हुआ लकडी	విస్కూడ్ కట్టె
कूडी	पत्तर	విస్తరి (ఆకులు)
कूर्कु	नींद	నిద్ర
कूलुम	पस	సీము
कूल्‍हुड	नोचना	గోకుట
कूसम	सांप की केचुल	కూసం
कूसम तेंडमड़	केचुल निकालना	కూసం తియడము
कूसुड	बांग देना	
कूसुड	रग़डना	
केंजमड़	सुनना	విను
केडा	जंगल	అడవి
केडा कोड्‍का पिट्टे	चिमणी	అడవి పిచ్చుక
केडा गुर्रम	जंगली घोडा	అడవి గుర్రమ్
केडा बर्रे	जंगली भैंस	అడవి బర్రె
केडा बल्‍ली	जंगली मकडी	అడవి బల్లి
केडा मन्‍कल	जंगली मनुष्य	అడవి మనిసి
केडा वेरकळ	जंगली बिल्‍ली	అడవి పిల్లి
केडाकोर	जंगली मुर्गी	అడవి కోడి
केडाते मनमड	जंगल में रहना	అడవిలొ ఉండుట
केडातेन वेलियमड	जंगल में घुमना	అడవిలొ తిరగడము
केयमड़	बुलाना	పిలుపు
केरी	रीढ़	
केर्रुडु	पहनना	తొడగటము
केल्‍क वायमड़	बाल उगना	వెంట్రుకలు రావడము
केल्‍लु	बाल	వెంట్రుక
केवपॊगू	झुमका	చెవి పోగూ
केव्क	कान(ज्यादा)	చెవులు
केव्वु	कान	చెవి; కర్ణము
केव्क	कान(ज्यादा)	చెవులు
केव्‍वु(तुपाकीतद)	बंदूक का घोडा	
केस्ला (मर्रा)	पेड़	
केहमड़	बंद करना	మూయుట
कैसुर	झाडू	చీపుర్
कॉर्बनडायाक्‍साइड	कॉर्बनडायाक्‍साइड	కార్బన్ డాయ‍అక్సాయడ్
कॊती	बंदर	కోతి
कॊला	लकडी	పుల్ల
कॊली	कमरा	గది
कॊलू		కోలూ
कॊसुल	ढाचा	కోసుల్
कोकसम	चील	కొకసమ్
कोंका नक्‍का	लोमडी	కొంక నక్క
कोंकिड-किंकिड	आडा-टेढा	వంకర డింకర
कोक्‍की	पहाड का शिखर	కొక్కి
कोंगा	बगुला	కొంగ
कोंगा	बगला	
कोगिल पिट्टे	कोयल	కొకిల పిట్టె
कोंगु	धोती का चोली	కొంగు/అంచు
कोंचम-कोंचम	थोडा-थोडा	కొంచం కొంచం
कोंटा	कोना	మూల
पॆंदा अर्रा(आ अर्र‍ता उंदि मूला)	देवघर	
कोटी	करोड़	కోటి
कोड़का	गौशाला	కొట్టము; పశువులపాక
कोडका पिट्टे	चिमणी	పిచ్చుక
कोड़का पिट्टे मेंजू	चिमणी का अंडा	పిచ్చుక గుడ్డు
कोड़ंज़	चरबी	కొడంజ్
कोड़ंज़ निय्यु	चरबी का तेल	
कोड़ंज़ निय्यु	चरबी का तेल	
कोडंज निय्यू	चरबी तेल	కొడంజ్ నూనె
कोडजेल्‍ला(जिम्मा/मीन)		జెల్లా జహ్
कोडपा जिम्मा		ఒక చేప పేరు
कोंडागोर्रे	हिरण	జింక
कोडियड	बहु	కొడలా
कोंडीं		కొండి
कोंडेंगा	वानर	కొండెంగా
कोंडेंगा मुसकिरी	बंदर जैसा मूह	కొండెంగా మూతీ
कोंडेंगालेसीं मरक एक्‍कुमड़	बंदर की तरह पेडों पर चढ़ना	కొండెంగాలా చెట్లు ఎక్కడము
कोड्डी	नोक	కోన; మూల
कोताल बाई	कोतवाल औरत	
कोतीतसंटा अल्‍बट्‍कु	बंदर कि जैसा	కొతిలాంటి అలవాట్లు
कोतीतालेसीं दिसमड	बंदर की तरह दिखना	కొతిలాగా కనపడటము
कोत्ता	धन	డబ్బు
रूपें	रुपया	డబ్బులు
कोत्तां	पैसे	పైసలు
कोत्लल	कोतवाल	కొతాలివాడు
कोताल बाई	कोतवाल औरत	
कोंदना हाटुम	बैल बझार	
कोंदा	बैल	ఎద్దు
कोंदना हाटुम	बैल बझार	
कोनम बाम		ఒ చేప పేరు
कोन्‍ली	कढ़ाई	
कोबेर निय्यु	नारियल तेल	కొబ్బెర నునె
कोब्‍बेर काया	नारियल	కొబ్బరికాయ
कोब्‍बेर मारा	नारियल का पेड़	కొబ్బరి (చెట్టు)
कोब्‍बेर कुड़का	नारियल का सफेद भाग	కుడుక
कोब्‍बेर मारा	नारियल का पेड़	కొబ్బరి (చెట్టు)
कोमटि जाति	कोमटी(एक जात)	కోమటోడు
कोमन्नापोरो	डाली के ऊपर	కొమ్మలపైన
कोम्‍कु	सींग	కొమ్ములు
कोम्मा	टहनी	కొమ్మ
कोया	गोंड (जाती)	గోండి
कोय्‌तड	गोंडी औरत	
कोय्‌तोर	एक आदिवासी जमात	
कोया बाषा	गोंडी भाषा	గోండి భాష
कोय्‌तड	गोंडी औरत	
कोय्‌तोर	एक आदिवासी जमात	
कोय्युडु	काटना	కొయ్యడము
कोर	सींग	కొమ్ము
कोर पीसे	मुर्गी का पिल्‍लु	కొడి పిల్ల
कोर पेट्टा	छोटी मुर्गी	కోడి పెట్ట
कोरगूडा	मुर्गी का घोंसला	కోళ్ళగూడు
कोरडॊकी	अंडे का छिल‍का	
कोर-पेट्टा	तलंग	
कोर-पोरि	मुर्गी का पिल्‍लू	కోడిపిల్ల
कोरबूरा		కోడి బూరు
कोरमेंजू	मुर्गी का अंडा	కోడి గుడ్డు
कोराल्‍क		కొమ్ములు
कोरियमड़	दाड़ी बनाना	గడ్డెమ్ తియడము
कोरॆं-कोरॆं इन्‍मड़	मुर्गी का आवाज	కొర్రెం అని అర్వడము
कोरोप	मही	సల్ల
कोर्कुड	काटना	కొర్కడము
कोर्दा कुरकुर इन्‍मड़	मुर्गी के बच्‍चों को बुलाने की आवाज	కుర్ కుర్ అనడము
कोर्री	सेम	చిక్కుడు
कोर्री काया		చిక్కుడు కాయలు
कोर्री काया		చిక్కుడు కాయలు
कोर्रु	मुर्गी	కోడి
कोर-पोरि	मुर्गी का पिल्‍लू	కోడిపిల్ల
कोर-पेट्टा	तलंग	
कोलयल	लोमडी	నక్క
कोलाटम	एक खेल	ఒక పల్లె ఆట
कोलिमते काचुह्मड	भट्टी में गरम करना	
कोस	दो मील का अंतर	
कोसिस कियमड़	कोशिश करना	ప్రయత్నము చేయుట
कोस्‍सा	छोर	ఆఖరీ కొస్స
कोह्‍का		జీడి
कोह्का मरा	बिबा का पेड़	జీడి (చెట్టు)
कोह्कुडु	टोचना	
क्षार	क्षार	క్షారము
गंगा	गंगा नदी	నది (గంగా)
गंज	बरतन/गंज	గంజు
गजगजा वन्‍कुमड़	थरथर कांपना	గజ్జ గజ్జ వణకాడము
गंजय	गांजा	గంజయ్
गज्जि	खरुज	గజ్జి; గోకుడు
गज्‍जे	घुंघरु	గజ్జె
गज्‍जेर पंडि	खजूर	ఖర్జూరము
गंटा	बैल के गले में बांधने का घंटा	పశువుల మెడలొ కట్టె ఘంట
गंटा	घंटा	
गंटेपुस्‍ती		మంగలసుత్రము
गट्का	गट्‍का	
गट्टिगा	कठीण	గట్టిగ
गट्टिगा	मजबूत	
गट्टितनम	मजबुती	గట్టితనమ్
गडापारा	सब्‍बल	గడ్డపార
गडि	घड़ी	గడియారము
गडे कियमड़	घडी करना	
गडेंचा	चौपाई	బిందెలుపెట్టె బల్ల
गड्डा	मुली	గడ్డ (దుంప)
गड्डा कट्टुमड़	जमना	గడ్డ కట్టడము
गड्डी मूंजु	माकड़	నల్లమూతి కొండెంగా
गड्‍सुतनम		మొండితనం
गंदक	गंधक	గంధకము
गदरांच्मड़	गरज़ना	
गद्दल	गीदड़	రాబందూ
गद्दे		గద్దె
गद्‍वा		గద్వభాగము
गनि	लेकीन	కని
गन्नु	हातोडा	
गन्ने	गांठ	గన్నె
गबिलेंका पिटे	चमगादड	గబ్బిలము
गब्‍बु	बदबू	వాసన
गमगमा गब्‍बु	खुशबू	మంచి వాసన
गमते-गमती	खुशी होना	సంతోషం
गमुलोड	कलार	
गमेला	घमेला	గమెల
गम्मत	खुशी	ఆనందము
गम्मती	मौज	
गर्का जाडि	घास	గర్కా గడ్డి
गर्से	सीढ़ी	
गलमा पिड़पू	तट्टा	తడక
गलमा पिड़पू	टट्टे का दरवाजा	గల్మ తడక
गले लगांच्मड़	गले लगाना	కౌగిలించుకొవడము
गाजी	चूडी; कंगन	గాజు
गाजुल पुडी		గాజులపురుగు
गाटो	भात	అన్నము
गाटो तिन्‍मड़	खाना खाना	
गाटो तिनुड़	भोजन	
गाटो तिनुड़	भोजन	
गाटो तिन्‍मड़	खाना खाना	
गाड़नी	छलनी	జల్లెడా
गांडु	नपुंसक	మగతనము లేని వాడు
गाड्‍दी	गधा	గాడిది
गाड्‍दी पोरी	गधे का पिल्‍लू	గాడది పిల్ల
गानी	पर	కని
गाबरा	शीघ्रता से	తొందర
गारे	चक्र	చక్రం
गारे काया	महुआ का फल	ఇప్పపువ్వు
गार्का	वडा	గారెలు
गालम	कांटा	గాలము
गालम पुडी	केंचुआ	గాలమ్ పురుగు
गालमसुव्‍वा		వెదురుబొంగు
गाव	जख्म	నొప్పి
गिचचो	थोडासा	కొద్దిగ
गिचचो-गिचचो	थोडा-थोडा	కొదిగ, కొదిగ
गिच्मड़	चुभना	
गिंड़गीं	पत्ते का टोपी	
गिन्ने	ताट	గిన్నెలు
गिरा-गिरा	गोल-गोल	గుండ్రుగా
गिर्का	चरखी	గిర్క
गिर्दवार	गिरदवार	గిర్దవార్
गिलगिला मेंदुल	कोमल त्‍वचा	
गिलास	चंबु	గ్లాసు
गिल्‍ले पुडि	झिंगुर	గిల్లె పురుగు
गीता	लकीर	అక్షరము; లైయిన్
गुग्रीं	ऊसळ	గుడాలు
गुंजा	खंबा	గుంజ
गुंजुडु	खींचना	లాగాడము
गुंजे (मर्रा)	पेड़	
गुंटा	खड्डा	చిన్న చెల్మె
गुंटी	गुल्ल्यार	
गुंटुक	डवरा	గుంటుకు
गुट्टा	पहाड़	కొండ
गुट्टा गट्टुक	पहाड-पर्बत	కొండ కొన
गुट्टी	टखना	చీలమండ
गुडि	मंदिर	మందిరం
गुंडिंग	बटन	గుండిలు
गुंडुरगा	गोल	గుండ్రుగా
गुंडुर्गा कियमड़	गोल करना	గుండ్రుగ చెయటము
गुंडे काया	हृदय	గుండె కాయ
गुड्डि	अंधा	గుడ్డి
गुड्डि-गुड्डि	अंधापन	మస్కుమస్కు
गुड्डी कोंगा	बगला	గుడ్డి కొంగ
गुड्डी नर्मे	मच्‍छली का प्रकार	ఒ చేప పేరు
गुड्डी वीसी	मच्‍छर का प्रकार	ఒ దోమ పేరు
गुड्‍डूक पेल्‍कमड़	अंडा देना	గుడ్లు ఎర్గాడము
गुड्से	झुग्‍गी	గుడిసె
गुत्ति	गुच्‍छा	గుత్తి
गुदुमसाई	इक नृत्य प्रकार	నృత్యము
गुप–चुप	गुप्‍त	
गुंपु-गुंपु मन्‍मड़	झुंड में राहणे	గుంపుగ ఉండటము
गुप्‍पा	ढेर	ఎత్తు స్థలము
गुबुर		గుబురు
गुमड़काया	कद्दू	గుమ్మడి కాయ
गुम्मी	ढोली	గుమ్మి
गुर-गुर इन्‍मड़	गुर-गुर करना	గుర్రడము
गुरगोड्डु	गवल	అడవి ఆవు
गुरजी	अध्यापक	ఆచార్యుడు
गुर्ती पिट्टे	चिडियाँ	ఒ పిట్టె పేరు
गुर्रम	घोड़ा	గుర్రము
गुर्रम पुडी		గుర్రుం పురుగు
गुर्रम पोरी	घोड़े का पिल्‍लू	గుర్రుం పిల్ల
गुलगुला कीयमड़	गुदगुदी करना	
गुला्‌गुला	गुदगुदी	
गुलगुला कीयमड़	गुदगुदी करना	
गुल्‍गुडु	बड़बड़ाना	శబ్దము
गुवाडॆगा	चील	డేగపిట్ట
गुव्‍वा		గువ్వ పిట్టె
गुसा-गुसा वड्‍कमड़	फुसफुसाना	మెల్లెగ మాట్లాడటము
गु्लाल	गुलाल	
गूटे	लकडी	గూటె
गूडा	घोंसला	పక్షిగూడు
गूडाते	घोसला में	గూడలొ
गूडाते मींड़मड़	घोसलें मे सोना	గూడాలొ పండకొవటము
गूनापेंका कियमड़	कवेलू बनाना	
गूनोड	कुबड़ा मनुष्य	గూనివాడు
गूपा पिट्टे	घुबड़	గూడ్లగుబ్బ
गूबा	कान का परदा	గూబా
गूरे	दीवार	గొడా; ఇంటి చుట్టు కట్టిన తడకలు
गूरे मेत्तुड	दीवार लिंपना	
गूसी	घूस	పందికొక్కు
गॆर्का	डकार	తేన్చు
गॆर्का तेंडमड़	डकार निकालना	
गॆर्का तेंडमड़	डकार निकालना	
गेर्का तेंडमड़	डकार निकालना	
गेर्रा	बिना पेड़ का सपाट भूभाग	
गेल्‍सुडु	जीतना	గెల్వడము
गैस	गैस	గ్యస్
गॊरु	नखुन	గోరు
गोकुड(कय्‍कुने)	हाथ से खुजलाना	చెతీతొ గొకడము
गोकूड	खुज़ली	గజ్జి
गोगोड	मुर्गा	కోడిపుంజు
गोंगोडि	कंबल	గొంగడి
गोटांच्मड़	घोटना	
गोट्टे मरा		గొట్టె చెట్టు
गोड़कुना मंदा	गय्यों का समुह	ఆవుల మందా
गोडचो	कुछ	ఎంతొ
गोडाचुक	ज़रा	గింతంత
गोड़्क कोहनद	चारवाहिन	
गोड़्क कोहानोर	चारवाह	పశువులు మెపువాడు
गोड़्क कोहनद	चारवाहिन	
गोड्‍क-गोदाल्‍क		ఆవులు; బర్రెలు; మేకలు
गोड्‍कुना बोयुडु	चारवाह	పశువుల కాపరి
गोड्डु उच्‍चा	गये का पेशाब	ఆవు మూత్రము
गोड्डु पाल निय्यु	गय्या का घी	ఆవు పాలు వెన్న
गोड्डू	गय्या	ఆవు
गोंड्रुंमड़	खर्राटा	గొండ్రడము
गोंदके	गला	మెడ
गोंदकेतुन अद्मिसी पियमड़	गला दबाना	మెడ అద్మడము
गोंदकेते बतलना हिरकुमड़	गले में फंसना	
गोदमा नागुम	नाग साप	ఒ పాము పేరు
गोद्दे	मल	
गोबी	पत्ता कोबी	
पत्ता गोबी	पत्ता कोबी	పాన్ గోబే
पूता गोबी	फूल कोबी	పూల గోబే
गोमेरा(हडपी)	गोबर	పిడక
गोरिला	गोरिला	
गोरु सिक्‍कुड काया	वाल	చికుడ్ కాయ
गोर्का	भाला	బల్లెము
गोर्रु	तिपन	గొర్రు
गोर्रे	भेड	గొర్రె
गोर्रे पोतु	मेंढा	గొర్రె పొతు
गोर्रेना मंदा	भेडों का समुह	గొర్రెల మందా
गोलि	गोली	గోళి
गोल्लल	गोलकर	గొల్లవాడు
गोल्ले	गोलकरिण	
गोल्‍लाबामा	टिड्डा	గొల్లబామా
गोल्ले	गोलकरिण	
गोल्‍सु	माला	గొల్సు
गोसी	काष्टा	గోసీ
गोह्क	गेहूँ	గొదుమలు
गौउन	गौउन	
ग्‍लिसिरिन	ग्‍लिसिरिन	గ్లిసిరిన్
चाड्नी	छलनी	జల్లెడ
चिकु(मरा)	चिकु का पेड़	సపోట (చెట్టు)
चिंता	चिंता	భాద
चिलटी (मर्रा)	पेड़	
चुक्डा (-जाडि)	घास	
जकामुका बंडा	आग उघलनेवाला पत्‍थर	
जकोर पिट्टे	पक्षी	
जंग पियमड़	जंग चढ़ना	తుప్పు పట్టడము
जगडम	झग़डा	గొడవ
जगम	जग	ప్రపంచం
जगमंता	जगभर	ప్రపంచమంత
जगा	झबला	
जंगा तूरिला	बांसूरी	ధ్వనినిఇచ్చే బొంబు వాయిద్యం
जग्डाल्‍क	झगडा	జగడం
जड़ता पीयना पोतु	बली चढ़ाने का प्रकार	బలి ఇచ్చె జంతువు
जनुम		జనుము
जपन-जपना	जल्‍दी-जल्‍दी	
जप्‍पना	जल्‍दी	తొందరగా
जपन-जपना	जल्‍दी-जल्‍दी	
जप्‍पना पय्यो	तुरंत नही फुटेगा	త్వరగా పగలదు
जप्‍पना होंगवायनोर	गुस्‍सा करनेवाला	కోపంగల
जप्‍पी	जंगल	ముడగ్య
जंबी मरा	बेल का पेड़	జమ్మి (చెట్టు)
जमा आयमड़	इकट्ठा होना	గుమికూడారు
जमा कियमड़	इकट्ठा करना	జమ చెయడము
जमा आयमड़	इकट्ठा होना	గుమికూడారు
जमाना	काल	ఒక్కపుడు,కాలం
मुन्नेटा जमानाते	उस जमाने मे	
जर्गमड़	सरकना	జరగడము
जर्गसेके होन्‍मड़	सरकते हूए जाना	జరగుతు వెల్లడము
जला	झरा	జలము
जल्‍लेडा	छलनी	జల్లెడ
जल्‍लेडा पियमड़		జల్లెడ పటడము
जवाब	जवाब	జవాబు
जवाब हियमड	जवाब देना	
जवाब हियमड	जवाब देना	
जहमड	मारना/पीटना	కొట్టుట
जागिल	जागरण	రాత్రి కావలి; జాగరణ
जांगी	चड्डी	
जाटा		అనుములు
जाड़ा		గుర్తు
जाडि	घास	గడ్డి
जाडि गुर्रम	टिड्डा	మిడుత
जाडी कट्टा		గడ్డి మొపు
जातरा	मेला	యాత్ర
जाति	जाति	కులము
जापुर दोहामड़		గుంజ
जाम मर्रा	जाम का पेड़	జామ (చెట్టు)
जार सेंबु	पितल का लोटा	పూజ ముంత
जार-जार	उतार	
जारमड़	खूंदना	తొక్కడము
जारसोन्‍मड़	फिसलना	
जावक रुब्‍बना बंडा		అంబలి రుబ్బె బండ
जावा	आंबील	అంబలి
जावोड्द पोड्द	सुबह	ఉదయము
जिंक	झिंक	
जिंका		జింక
जिंकाना मंदा	हिरणों का झुंड	జింకల మంద
जिगजग आयमड़	चमकना	మెరుసుట
जिगुर-जिगुर	चिपचिप	
जिड्डु	बकरी के दूध का बास	పాలు వాసన
जिड्डु-जिड्डु	दूध का बास आना	పాలులాంటి వసన
जिब्‍बुल	कर्णमल	చెవీలోని జీబిలి
जिम्मंना मंदा	मच्‍छलींयो के समुह	చెపల మంద
जिम्मा सेक्‍ली	गलफड़ा	
जिम्मा हाप	मच्‍छली की हड्डी	చెప వెముక
जिर्रे पुडी		ఒక పుర్గు
जिलोड मरा		జీల్లేడు (చెట్టు)
जिल्ला	जिला	జిల్లా
जिवराशीं	जनावर	జంతువులు
जिवराशींना जीवा	प्राणीयों का जान	పశువుల ప్రాణం
जिस्‍टी तेंडमड़	डीट निकालना	
जीतागाड़	नौकर	పనివాడు
जीरका होन्‍मड़	छिपटी	గ్రుచుడము
जीवा	जान	ఆత్మ
जीवा कीयमड	प्रिती, प्रेम	ప్రెమ
जीवातोर	रिश्तेदार	బంధువులు
जुट्टि		జుట్టు
जुम्‍का	झुमका	
जूंजरि		ఒక్కటి అంటె ఇక్కటి చేస్తాడు
जॆगरता	ध्यानपूर्वक	జగర్త
जॆगा	जगह	స్థలము
जॆनेड		జెనెడు
जेडा		జడ
जेंडा	झेंडा	జెండా
जेब	ज़ेब	జేబు
जेरगोड्डु	दामन	ఒక పాము పేరు
जेर्रि	शतपद	జెర్రి
जॊले	झोला	
जोकमड़	तोलना	జొకడము
जोडांच्मड़	जोड़ना	జంటచేయుట
जोडांच्‍सेके	जोडते समय	జంటవెసెటప్పుడు
जोडीं-जोडीं मनमड़	जोडी बनकर रहना	జంటగ ఉండటము
जोत्ता	सान	ఇస్రురాయి
जोत्ते		జొత్తె
जोन्ना	जवार	జొన్నలు
जोरदार	जबरदस्‍त	లక్షణంగా
जोरा	थैला	సంచి
टरबुजा काया	तरबूज	కర్బూజా
टव्‍सी मर्रा		టవ్సి చెట్టు
टाईम	समय	సమయము
टिक्‍ली	बिंदी	టిక్లా (బొట్టు)
टिटिटो पिट्टे	सारस	
टेबल	मेज	బల్ల
टेलर	दर्जी	దర్జి
टेव्‍वेर आयमड़	धक्‍का लगना	
टोकेरा	टोकरी	టొకెరా
टोंग्रा	घुटना	మోకాలు; మోకాలి-కీలు
टोपी	टोपी	టోపి
टोंबै उंदि	इक्‍यानवे	టొంబై ఒకటి
टोंबै तोम्मिदि	निन्‍यानवे	టొంబై తొమ్మిది
टोंबै नालूं	चौरानवे	టొంబై నాలుగు
टोंबै मूडु	तिरानवे	టొంబై మూడు
टोंबै रोंडु	बानवे	టొంబై రెండు
टोंबै हारूं	छियानवे	టొంబై ఆరు
टोंबै हेय्यूं	पचानवे	టొంబై ఐదు
टोंबै-एडूं	सत्तान्‍वे	టొంబై ఎడు
टोंब्‍बै	नब्‍बे	టొంబై
टोम्‍बै एनमिदि	अट्‌ठानवे	టొంబై ఎనమిది
डकडक आयमड़	दिल धकधक होना	
डप	डप्‍रा	డప్పు
डब्बा	डब्‍बा	డబ్బా
डाकाली		దాగిలి
डाक्‍टर	डॉक्‍टर	వైద్యకుడు
डांग	ढोल का आवाज़	ఒ వాద్యము సప్పుడు
डांबर	डांबर	డాంబర్
डाला	टोकरी	గుమ్మి
डाल्‍पीन	डाल्‍फीन	ఒ పక్షీ పేరు
डिजेल	डिझेल	డిఝెల్
डिब्‍बिल वाटमड	नाक बंद होना	ముక్కు గట్టిగ అవటము
डिम्‍की	डमरु	ఢమురు
डिस्‍को पूसा	मोती	ఒ రఖమైన పూస
डीला कियमड़	ढीला करना	
डेक्‍का	खुर	డెక్క
डेबै एनमिदि	अठहत्तर	డెబై ఎనిమిది
डेब्‍बै	सत्तर	డెభై
डेब्‍बै उंदि	इकहत्तर	డెభై ఒకటి
डेब्‍बै तोम्मिदि	उन्‍यासी	డెభై తొమ్మిది
डेब्‍बै नालूं	चौहत्तर	డెభై నాలుగు
डेब्‍बै मूडु	तिहात्तर	డెభై మూడు
डेब्‍बै रोंडु	बहत्तर	డెభై రెండు
डेब्‍बै हारूं	छिहत्तर	డెభై ఆరు
डेब्‍बै हेय्युं	पछ्‌हत्तर	డెభై ఐదు
डेब्‍बै-एडूं	सतहत्तर	డెభై ఎడు
डेमा	बाये	ఎడమ
डेमेर्ग्	बाये की ओर	
डेमा केय्‌दे	बाये हाथ में	
डेमा केय्‌दे	बाये हाथ में	
डेमेर्ग्	बाये की ओर	
डेला	ढेला	
डोक्के	गिरगीट	తొండ
तरास डोक्के	सांप गिरगीट	
कुदूर डोक्के	पाल	బల్లి
डोग्‍गां		నిప్పులు
डोबुर्का	शंबुक	
डोब्बा	फेफडा	
डोल	ढोल	
डोल	ढोल	ఒ వాద్యము
डोल तनानोर	ढोल बजानेवाला	
डोल	ढोल	
डोल तनानोर	ढोल बजानेवाला	
डोल सिर्रा	ढोल बजाने की लकडी	
तकलिप कियमड़	तकलीफ देना	
तकांच्मड़	थक जाना	అల్సి పొవడము
तक्‍को	कम	తక్కువ
तक्‍को कपडिं केरमड	कम कपडा पहनना	తక్కువ బట్టలు వెసుకొవడము
तक्दीर	किस्मत	అదృష్టం
तक्लीब	तकलीफ	కష్టం
तंगवारड़	पत्‍नि की बड़ी बहन	
तगुरम	टिन	తగురము
तङ्‌मरी	पोता	బిడ్డ కుమారుడు మన్మడు
तङ्‌मियाड	पोती	బిడ్డ కూతురు మన్మరాలు
तङ्‌मियाड	पोती	బిడ్డ కూతురు మన్మరాలు
तटकुनमड	फंसना	
तट्टा	टोकरी	గుల్ల; గంప
तड़की	कलेजा	కారజెమ్
तड़ा	लहर	
तडिम नीरस्मड़	आग लगा‍ना	నిపుకనికమసి
तडिमते बोळ्‍समड़	आग मे भूनना	అగ్నిలొ కాల్చుట
तडिमि	आग	అగ్గి
अग्‍गि पुल्‍ला	तीलि	
अग्‍गि डब्‍बा गीसा	आग लगाना	
अग्‍गि डब्‍बा	आगपेटी	అగ్గి పెట్టె
तडिमिं	नींव	అగ్గి; నిప్పు
तन्नुमड़	मारना	కొట్టుట
तप आता इंचि ओपुकुन्‍मड़	पश्‍चाताप करना	పశ్చతాపము చెయుట
तप ओप्‍कुनमड़	गलती स्वीकार करना	తప్పు ఒప్పుకొవడము
तप्‌	गलती	పొరబాటు
तप्‌सोन्‍मड़	गुम होना	
तमाटा	टमाटर	టమాట
तम्मुर	छोटा भाई	తమ్ముడు
सिन्ने कोडियड़	छोटी बहु	తమ్ముని భార్య
तयर किय्‍वल्	बनानेवाला	తయారైనది
तयार आता	तयार हुआ	తయరు అయ్యింది
तयार आयमड़	तयार होना	
तयार कियमड़	तयार करना	తయరు చెయుట
तयार आयमड़	तयार होना	
तर	थर	
तरमड़	लाना	తెచ్చుట
तराजु	तराजू	తరాజు; త్రాసు
तरास	साँप, सर्प	పాము
तरास डोक्के	सांप गिरगीट	
तरास मेंजू	सांप का अंडा	పాము గుడ్డు
तरास सोर्रे	सांप का बीड़	పాము ఉండె స్థలము
तरुमड़	लाना	
तलपू	दरवाज़ा	తలుపు
तलबाल्‍क		అక్షీంతాలు
तलसुकुन्‍मड़	ठाण लेना	తలచుకొవడము
तला दुर्दा तेदमड़	सिर में खुजली होना	తలలొ దుర్ద పెట్టడము
तला पोरोटाल एर तुंगमड़		తల స్నానము చెయుట
तलातला आयमड़	चमकना	మర్చుట
तलुर	मादा	తల్లి జంతువు
तलुर एटी पोरी	बकरी का मादा पिल्‍लु	మేక పిల్ల
तलुर गुर्रम	घोडी	తల్లి గుర్రము
तलुर नय्यू	कुतिया	తల్లి కుక్క
तलुर मग्‍गुर	मादा मगर	
तलुर-बाबो	माँ-बाप	
तल्कमड़	पूछना	అడుగుట
तल्लक रुमाल हेलवोड		రుమాలులేనివాడు
तल्वार	तलवार	బల్లెము
तळी	गिलापन	
तळी मन्नु	गिली मिट्टी	
तव्‍वा		మానిక
तव्‍वागाड	नौकर	పనివాడు
तव्‍वुडु	खोदना	తవ్వడం
ता	लाना	తీస్క రావడము
ताइत दोहुडु	ताबीज बांधना	
ताकत हिल्‍वोड(केदनायवोड)	कमजोर व्यक्‍ति	బలహీనత కలగినవాడు
ताकतते पीकुड़	ताकत से उखाड़ना	
ताकमड़	पैरों से चलना	కాల్లతొ నడవడము
ताकिच्‍चनोर	चलानेवाला	నడపించువాడు
ताकिच्मड़	चलाना	నడుపుట
ताकिसी-ताकिसी तयार आता लोद्दी	चल-चल कर बना खाई	
ताज्या	ताज़ा	
ताडजेर्री	धामन	
ताडि मरा	ताड का पेड़	తాటి (చెట్టు)
ताडि-कल	ताड़ी	
ताडि-कल	ताड़ी	
तातल	नाना (माँ के पिताजी)	తాతయ్య
तादल	बड़ा भाई	
तादो बाबल	पड़दादा	పూర్వీకులు
तांबेल	कछुआ	తాంబేలు
तार	तार	తీగె
तारमड़	बिछाना	పరవడము
तालम कय	किल्‍ली	తాలము చేయి
तालम-डब्बा	ताला	తాలము
तालम-डब्बा	ताला	తాలము
तालि	लोटा	ముంత
ताल्‍प वाटता पेरगु	बगारा हुआ मही	
तासमड	लगाना	పెట్టుకోవడము
तासे	ताशा	నృత్యవాయిద్య వస్తువు
तिनना तिंडि	चारा	తినె తిండి
