Gondi Word	Hindi Meaning	Telugu Meaning
आंद्रा	आंध्र प्रदेश	ఆంధ్ర
आपती अरमड़	प्रसव वेदना	
आपीस	दफ्तर	ఆఫీసు; కార్యలయము
आपुड	रोकना	ఆపడము
आपोआप	अचानक	అకస్మితంగ
आबद्दम	झूठ	ఆబద్దము
आयंका	बाद में	తర్వాత
आयुडु	होने का क्रिया	అవ్వండి
आय्‍ना	तो भी	అయ్నా
आरण्यम	जंगल	అడవి
आरस्मड़	ठंडा करना	ఆర్పడము
आराम कियमड़	आराम करना	విశ్రాంతి
आरुडु	ठंडा होना	చల్లరింది
आरें	पहिये का आरा	
आरे मरा	बेल का पेड़	ఆరె చెట్టు
आर्ति गिन्ने	आरती	
आलीगड्डा	आलू	ఆలు గడ్డ
आल्‍सेम	देरी	ఆలస్యం
आल्‍सेम कियमड़	देरी करना	
आल्‍सेम आयमड	देर होना	ఆలస్యమ్ అవడము
आल्‍सेम कियमड़	देरी करना	
आवल्‍क	राई	ఆవాలు
आवल्मरि	आलमारी	ఆల్మారి
आवसु		ప్రాణం
आवाज	आवाज़	శబ్దము
आशे पडमड़	उम्मीद	ఒపిక్య
आसर	मदत करना	సహయం
इंका	फिर भी	అయన
इंकुंदि मल्‍का	और एक बार	
इगसेके होन्‍मड़	खींचकर ले जाना	లాగుక తీస్కెలడము
इंगिल्‍केम	काटनेवाला मच्‍छली का प्रकार	
इंगु	हींग	ఇంగువ
इग्‍गुडु	खींचना	లాగడము
इग्गे	यहां	ఇక్కడ
इग्गेटल	यहां से	ఇక్కడి నుండి
इग्गेटल	यहां से	ఇక్కడి నుండి
इचटुर	इतने(म.)	ఇందరు
इंचेके	अतः	అందువలన
इच्‍चा आयमड़	इच्‍छा होना	ఇష్టపడడము
इच्‍चुक	थोडा सा	కొంత
इच्चोर	इतना	ఇంత
इट्के	ईट	ఇటుక
इट्‍के कियमड़	ईट बनाना	ఇటికలు చెయడము
इट्टुडु	छूना	ముట్టుట
इता कल्‍लू	सिंधी का दारू	
इता मरा	सिंधी का पेड़	ఈత (చెట్టు)
इता कल्‍लू	सिंधी का दारू	
इत्ते	तो	అంటే
इत्तोड ताली	पितल का लोटा	ఇత్తడి చెంబు
इत्तोडी	पीतल	ఇత్తడి
इद	यह	ఇది
इदुन हाटीं	इस लिये	దీని కొరకు
इंदके	अभी	ఇప్పుడు
इंदकेने	अभी	ఇప్పుడె
इदुन लेंसीं	इस तरह	ఇలాంటిది
इदुन हाटीं	इस लिये	దీని కొరకు
इदे	लो!	తీసుకొ
इनपा	लोह	ఇనుము
इनुडु	कहना	అను
इनुम	लोह	ఇనుము
इय्योड	इस साल	ఈ సంవత్సరము
इर	ये	వీరు
इरद	इनका	వీరిది
इरगा	बहुत	చాల
इरगा वितुमड़	तेजी से दौड़ना	గట్టిగా పర్గెత్తడము
इरद	इनका	వీరిది
इरवै	बीस	ఇరువై
इरवै उंदि	इक्‍कीस	ఇరువై ఒక్కటి
इरवै एनमिदि	अट्‌ठाईस	ఎరువై ఎనిమిది
इरवै तोम्मिदि	उनतीस	ఇరువై తొమ్మిది
इरवै नालूं	चौबीस	ఇరువై నాలుగు
इरवै मूडू	तेईस	ఇరువై మూడు
इरवै हेय्युं	पच्‍चीस	ఇరువై ఐదు
इरवै-एडूं	सताईस	ఇరువై ఎడు
इरवै-हारूं	छब्‍बीस	ఇరువై ఆరు
इरुवै रोंडु	बाईस	ఇరువై రెండు
इर्क मरा	महुआ का पेड़	ఇప్ప (చెట్టు)
इर्रुडु	रखना	ఉంచు
इर्सू	धुरी	ఇర్సు
इल्‍हा	इस तरह	ఇట్లా
इल्‍हा बल्‍हा	यह कैसा हुआ, यह किस तरह?	ఇది ఎట్లా?
इव	ये	ఇవి
इव्वुर	दो जण	
इव्वुर	दो जण	
इसंटद	इस तरह का	ఇటువంటిది
इसंटां	इस तरह के	ఇటువంటివి
इस्‍कुल	पाठशाला	బడి; పాఠశాల
इस्‍टम हिल्‍वा कबड कियमड़	जबरदस्‍ती से काम करना	పని ఆశ్రద్దాగ చేయుట
इस्‍टमातद	पसंदीदा	ఇష్ట పడ్డది
इस्रिसि पय्‍हामड़	फेंक के फोड़ना	విస్రి పగలగొటటము
इस्रुमड़	फेंकना	విస్రడము
इहिन	इस प्रकार	
इहिन बहन	यह कैसा	
इहिन बहन	यह कैसा	
ईदमड़	तैरना	ఈత
ईनद	इसका	ఇతని
ईसुल		ఉసుల్లు
उंगरम	अंगुठी	
उगादि नेला	वैशाख का महिना	వైశాఖము
उच्‍चा	पेशाब	ఉచ్చ
उच्‍चा बुड्डी	मुत्रपिंड	మూత్రపిండము
उच्‍चुल	थूक	ఉమ్మి
ऊच डेंडे	ईक	
उच्‍चुल मिंगमड़	थूक निगलना	
उच्‍चुल वायमड़	थूक आना	
उडकमड	पिशाब करना	ఉచ్చ పొయటము
उड़गुमड़	ढहना	ఉడిగి పొవటము
उंडिला	गुलेल	విల్లు
उड्पमड़	जमा करना	
उतार	उतार	
उत्तगेन	ऐसे ही	వట్టిగా
उत्तदे	बिना काम का	అక్కరకురాని
उत्तेरा	उत्तर	ఉత్తెరా
उत्तेरा(दिक्‍कु)	उत्तर(दिशा)	
उत्रम	पत्र	ఉత్తరము
उंदगा जमा आयमड़	एक जगह जमा होना	
उंदान पोरो उंदि	इक के ऊपर इक	ఒక్క దాని మీద ఒకటి
उंदि	इक	ఒకటి
उंदि कळु	एक आंख	ఒక కన్ను
उंदि पाव हिस्‍सा	पाव	ఒక పావు భాగము
उंदि मल्‍का	एकबार	ఒక్క సారి
उंदी-उंदी मन्‍मड़	अकेला रहना	ఒంటరిగా ఉండటము
उंदे जॆगाते आयमड़	एक ही स्‍थल पर रहना	ఒకె చోట ఉండటము
उंदे(मु.)	अकेली	ఒక్కతను
उंदेमल्‍का लगांची वळी होळ्‍समड़	एकदम श्‍वास छोड़ना	
उद्दिच्मड़	बिठाना	
उद्दुड	बैठना	కూర్చో
उद्दिच्मड़	बिठाना	
उद्देरा	उधार	ఉద్దెర
उनना	पीना	త్రాగు
उनुडु	पीना	త్రాగు
उनना	पीना	త్రాగు
उपरोम	मदार	ఉపరము
उपायम	योजना	కార్యము
उपिच्मड	बैठाना	కుర్చొపెటడము
उप्योग	प्रयोग	ఉపయోగం
उबर	पसीना	చెమట
उब्‍बरिच्मड़	पसीना निकलना	చెమట రావడము
उब्‍बुता जॆगा	सूजा हुआ भाग	ఉబ్బిన స్థలము
उब्‍बुमड़	फुल जाना	ఉబ్బడము
उम्मादामा	एक पक्षी का नाम	ఒ పక్షి పేరు
उरलिसी अरमड़	खसक जाना	
उरागाया तोक्‍कु	अचार	పచ్చడి
उरुहमड़	तोड़ना	
उर्री	फंदा	కుతంత్రం
उर्रुम	घोरफड़	ఉడుము
उर्रे अरमड़	झगड़ना	కొట్లాడటము
उर्समड-	रोपना	
उर्सानोर	रोपनेवाला	
उल्‍किसी अरमड़	दचकना	ఉల్కి పడటము
उल्‍ली	छेनी	ఉల్లి
उल्‍ली गड्डा	प्याज़	ఉల్లిగడ్డ
उळ्‍कना कॊली	पेशाब घर	మూత్రలయము
उळ्‍कमड़	पेशाब करना	ఉచ్చా పొయడము
उळ्‍काला होन्‍मड़	पेशाब के लिये जाना	ఉచ్చ పొయడానికి పొవడము
उळ्‍किसी वायमड़	पेशाब करके आना	ఉచ్చ పొసీ రావడుము
उसमल	मूसल	రోకలి
उसरेल्‍ली	ओंध	
उसीर्के मरा	आवलें का पेड़	ఉసిరి (చెట్టు)
उसुड़	गोबर से लेपना	అల్కాడము
उसुमकुनुड	पोंछ लेना	తూడవుకొవటమ
उसुममड़	पोंछना	తూడవడము
उस्‍कुड	थूकना	ఉమ్మెయడము
उस्के	रेती	ఇస్క్య
उस्‍के बंडा	रेतीवाला पत्‍थर	ఇసిక్య రాయ
उस्‍के बूमी	रेगीस्‍तान	
उस्‍मुडु	पोंछना	తుడవడము
उस्‍सुडु	कूटना	దంచడము(వడ్లు)
उहुडु	पिलाना	తాగించడము
उह्‍कुड	फूंकना	ఊదడము
उह्‍कुडु	बजाना	ఎగించడము(పిలన్ గొయ్య)
ऊकड	झुला	ఉయ్యాల
ऊंगंमड़	झूलना	ఊగాడము
